NO.,NAMA KONTRAKTOR,Gred,NEGERI,DERAH,NO.TELEFON,NO.FAKS,PPK,SPKK,STB,EXPIRY DATE
1,  K&S ENTERPRISE ,G1,SABAH,TONGOD,011-5905007,NO FAX,Yes,NO SPKK,NO STP,08/02/2024
2, ' S '  TROPIKA ENTERPRISE,G1,PAHANG,BERA,0199215856,092554373,Yes,Yes,Yes,16/03/2024
3, ' Z '  ENTERPRISE,G1,KEDAH,KULIM,044905901,044905901,Yes,Yes,Yes,04/05/2024
4, A & N REJOICE ENTERPRISE ,G1,SARAWAK,MIRI,012-8499633,NO FAX,Yes,Yes,NO STP,26/09/2024
5, A & S VENTURES,G1,PULAU PINANG,BARAT DAYA,0172408055,-,Yes,Yes,Yes,08/07/2025
6, AKIM MAJU TRADING,G2,TERENGGANU,SETIU,0117815805,-,Yes,Yes,Yes,19/12/2023
7, ALAF BARU ENTERPRISE,G1,JOHOR,PONTIAN,0197183315,-,Yes,Yes,Yes,14/08/2025
8, ARTY JAYA ENTERPRISE,G1,JOHOR,KLUANG,077892232,077892232,Yes,Yes,Yes,28/06/2024
9, BAROKAH BERSATU ENTERPRISE,G2,SELANGOR,KLANG,01-26107737,NO FAX,Yes,Yes,Yes,16/02/2026
10, D PANDA EMPIRE,G1,SABAH,BEAUFORT,012-8690988,NO FAX,Yes,NO SPKK,NO STP,06/09/2025
11, DE EXCEL TOUCH,G4,SELANGOR,SEPANG,0,NO FAX,Yes,Yes,Yes,12/10/2025
12, DONG LI CONSTRUCTION COMPANY,G3,SARAWAK,KUCHING,016-8681486,0,Yes,NO SPKK,NO STP,25/05/2024
13, ENERGAZ SDN. BHD.,G2,SELANGOR,,03-87308000,03-87308000,Yes,NO SPKK,NO STP,04/04/2026
14, HUSIN JAWI RESOURCES,G1,PAHANG,BERA,0145453361,0390755145,Yes,Yes,Yes,19/01/2026
15, HYDRO MAPPERS SDN. BHD.,G5,SELANGOR,KLANG,03-32912415,03-32915241,Yes,NO SPKK,NO STP,03/04/2024
16, KOMISO COMPUTER & PRINTER CLINIC,G3,SABAH,Kota Kinabalu,088-436288,NO FAX,Yes,Yes,NO STP,07/10/2025
17, KOPERASI PESERTA-PESERTA FELCRA LAMBOR KANAN PERAK BERHAD,G3,PERAK,PERAK TENGAH,01-93422167,NO FAX,Yes,Yes,Yes,10/10/2024
18, MJ ENTERPRISE,G1,SABAH,Kota Belud,010-9556410,NO FAX,Yes,NO SPKK,NO STP,12/12/2024
19, MOHAMAD KHAIRUL AZHAR BIN RIDZUAN  ,G1,KEDAH,SIK,0125153559,NO FAX,Yes,Yes,Yes,07/06/2025
20, MYFIRIZ ENTERPRISE,G2,JOHOR,JOHOR BAHRU,0137052660,07-3333351,Yes,Yes,Yes,29/04/2026
21, OAM ENTERPRISE,G1,PERAK,KUALA KANGSAR,05-7702186,-,Yes,Yes,Yes,12/12/2026
22, PELANGI GROUP ENTERPRISE,G1,TERENGGANU,KUALA TERENGGANU,01-39411886,NO FAX,Yes,Yes,Yes,21/02/2024
23, PEMBINAAN IRAMA KELANA  SDN. BHD.        .,G5,KEDAH,KUALA MUDA,044316828,044482332,Yes,NO SPKK,NO STP,22/07/2024
24, PEMBINAAN WOO & TAN  SDN. BHD.,G6,SELANGOR,,03-89481188,NO FAX,Yes,NO SPKK,NO STP,06/11/2026
25, PERMATA CAHAYA MAJU ENTERPRISE,G2,PERAK,HILIR PERAK,01-26111574,01-26115749,Yes,Yes,Yes,03/04/2026
26, RIMBUN EMAS,G1,SABAH,Papar,087-861718,0,Yes,NO SPKK,NO STP,17/05/2025
27, RIZKY AL AMIN ENTERPRISE,G2,TERENGGANU,KUALA TERENGGANU,0199884358,-,Yes,Yes,Yes,20/02/2026
28, S R TEAM BUILDERS (M)  SDN. BHD.,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-62958721,0,Yes,NO SPKK,NO STP,09/04/2025
29, SAMAMAJU RESOURCES ,G2,SARAWAK,BINTULU,010-4552857,NO FAX,Yes,NO SPKK,NO STP,26/10/2024
30, SERVIS HAWA DINGIN & ELEKTRIK HM,G2,NEGERI SEMBILAN,KUALA PILAH,01-32932005,-,Yes,Yes,Yes,22/12/2025
31, SULONG MARINE SLIPWAY,G4,TERENGGANU,KUALA TERENGGANU,0199883547,NO FAX,Yes,NO SPKK,NO STP,30/08/2024
32, TERINDAH MAJU ENTERPRISE,G1,PAHANG,TEMERLOH,0179238057,NO FAX,Yes,Yes,Yes,14/09/2025
33, UNITED PEST CONSULTANTS,G2,SARAWAK,KUCHING,010-9500939,NO FAX,Yes,NO SPKK,NO STP,20/02/2025
34, VALLEY ENTERPRISE,G1,SARAWAK,MIRI,016-8501800,NO FAX,Yes,NO SPKK,NO STP,27/11/2024
35, YEK KHEONG CONSTRUCTION & DECORATION,G3,PERAK,KUALA KANGSAR,05-5981584,05-5981584,Yes,NO SPKK,NO STP,15/05/2024
36, ZAIREN  ENTERPRISE,G2,SELANGOR,PETALING,03-55247979,03-55247997,Yes,Yes,Yes,28/05/2024
37,(D.U.N) ENTERPRISE,G3,SARAWAK,Lawas,013-5527111,00,Yes,Yes,Yes,10/06/2024
38,(M) VENTURE,G1,SABAH,BEAUFORT,016-4177937,0,Yes,NO SPKK,NO STP,25/10/2025
39,(MND) GROUP,G1,SABAH,Papar,010-9312711,NO FAX,Yes,NO SPKK,NO STP,24/07/2025
40,007 T AGENCY,G2,KEDAH,KOTA SETAR,0124663964,NO FAX,Yes,Yes,Yes,09/06/2025
41,0NTARGET CONSTRUCTION,G2,SABAH,Kota Belud,011-2600270,NO FAX,Yes,NO SPKK,NO STP,12/02/2024
42,1 2 1 CAPITAL SDN BHD,G5,SELANGOR,,0380117620,-,Yes,Yes,NO STP,28/02/2025
43,1 ASIA BEST RESOURCES,G3,NEGERI SEMBILAN,SEREMBAN,11-33445672,NO FAX,Yes,Yes,NO STP,11/05/2025
44,1 BUILDER CONSTRUCTION,G3,PERAK,KAMPAR,01-49068826,NO FAX,Yes,NO SPKK,NO STP,19/07/2025
45,1 BUILDER MANAGEMENT  SDN. BHD.,G3,PERAK,KAMPAR,0149068826,NO FAX,Yes,NO SPKK,NO STP,15/01/2024
46,1 DEE MAJU ENTERPRISE,G1,WILAYAH PERSEKUTUAN LABUAN,LABUAN,01-98954668,NO FAX,Yes,Yes,Yes,28/07/2025
47,1 DJ ENTERPRISE,G1,SABAH,KENINGAU,0-,-0,Yes,NO SPKK,NO STP,04/10/2025
48,1 QUALITY SDN. BHD.,G5,SELANGOR,KUALA LANGAT,0331917376,0331917375,Yes,NO SPKK,NO STP,13/02/2026
49,1 USAHA MURNI ENTERPRISE,G1,PAHANG,PEKAN,0132993516,NO FAX,Yes,Yes,Yes,26/06/2026
50,10 INFINITY SDN. BHD.,G3,SELANGOR,PETALING,03-50331796,03-50331797,Yes,NO SPKK,NO STP,16/11/2025
51,10 PLUS PLYWOOD SDN. BHD.,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,,0,NO FAX,Yes,NO SPKK,NO STP,15/10/2025
52,100 PLUS SUPERMART & TRADING  SDN. BHD.,G7,SELANGOR,PETALING,01-64459675,NO FAX,Yes,NO SPKK,NO STP,05/07/2025
53,1001 CONSTRUCTIONS,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,,01-99177182,NO FAX,Yes,Yes,Yes,29/05/2026
54,1001 ENTERPRISE,G1,SABAH,TAMBUNAN,011-1603157,NO FAX,Yes,NO SPKK,NO STP,02/07/2026
55,101 BUILDERS,G3,SELANGOR,PETALING,03-80603705,NO FAX,Yes,NO SPKK,NO STP,12/01/2025
56,101 CONTRACTOR ,G6,SARAWAK,MIRI,016-8746112,NO FAX,Yes,NO SPKK,NO STP,08/08/2025
57,113 development,G3,SABAH,KENINGAU,013-7791130,NO FAX,Yes,NO SPKK,NO STP,09/07/2025
58,1133 CRANES & TRADING SDN. BHD.,G3,SELANGOR,PETALING,0377701544,0377848387,Yes,NO SPKK,NO STP,31/01/2024
59,1133 RK LORRY TRANSPORT SDN. BHD.,G5,SELANGOR,PETALING,0377701544,0377848387,Yes,NO SPKK,NO STP,19/09/2025
60,12 DYNASTY  SDN. BHD.,G1,SELANGOR,,0102297988,NO FAX,Yes,NO SPKK,NO STP,03/07/2024
61,12 SIBLINGS ENTERPRISE,G1,PERAK,MUALLIM,01-75116227,NO FAX,Yes,Yes,Yes,11/01/2025
62,1211 BRILLIANT ENTERPRISE,G1,KEDAH,KUBANG PASU,04-9161837,NO FAX,Yes,Yes,Yes,20/01/2025
63,122 LEGACY,G1,MELAKA,MELAKA TENGAH,01-76360908,NO FAX,Yes,Yes,Yes,25/09/2025
64,13 ENERGY LEGACY,G1,TERENGGANU,KUALA TERENGGANU,01-99639533,NO FAX,Yes,Yes,Yes,05/12/2025
65,13 NOV ENTERPRISE,G2,PAHANG,KUANTAN,01-36259308,NO FAX,Yes,NO SPKK,NO STP,17/05/2024
66,13 SSRS RESOURCES SDN. BHD.,G7,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0,NO FAX,Yes,Yes,NO STP,20/03/2025
67,133 AHMAD RESOURCES,G3,SELANGOR,KLANG,0,0,Yes,NO SPKK,NO STP,21/12/2023
68,1511 QASEH EMPIRE,G1,JOHOR,MUAR,0182899523,NO FAX,Yes,Yes,Yes,22/06/2025
69,16 STONE EMPIRE,G1,PERAK,PERAK TENGAH,01-34099412,NO FAX,Yes,Yes,Yes,02/03/2024
70,17 BERSATU ENTERPRISE,G2,TERENGGANU,BESUT,0177134634,-,Yes,Yes,Yes,25/03/2024
71,1LYNX SOLUTIONS SDN. BHD.,G4,SELANGOR,,03-74902178,NO FAX,Yes,NO SPKK,NO STP,24/07/2024
72,1st Option  Engineering,G1,SABAH,Kota Kinabalu,0168808301,088-383313,Yes,NO SPKK,NO STP,03/08/2026
73,1WORLD REAL POWER SDN. BHD.,G5,SARAWAK,KUCHING,08-2752140,-,Yes,NO SPKK,NO STP,16/02/2025
74,2 H SEKAWAN SERVICES,G1,JOHOR,KOTA TINGGI,0,NO FAX,Yes,Yes,Yes,04/10/2024
75,2 M HOMES CONSTRUCTION,G2,SELANGOR,KUALA SELANGOR,01-46954893,NO FAX,Yes,Yes,NO STP,15/08/2025
76,2 R KASIH SAYANG RESOURCES,G1,SELANGOR,GOMBAK,01-63566289,NO FAX,Yes,Yes,Yes,19/01/2025
77,2 SUCCESS RICH ENTERPRISE,G1,JOHOR,KLUANG,01-82508744,NO FAX,Yes,Yes,Yes,11/12/2023
78,201 UMI RESOURCES,G2,MELAKA,JASIN,0196854777,0,Yes,NO SPKK,NO STP,17/04/2025
79,21ST EAST  SDN. BHD.,G1,PAHANG,KUANTAN,0,NO FAX,Yes,Yes,Yes,10/04/2026
80,223 CPX  SDN. BHD.,G3,WILAYAH PERSEKUTUAN KUALA LUMPUR,,03-77709112,03-77730638,Yes,NO SPKK,NO STP,05/01/2025
81,223 MZ TRADING,G1,PERAK,KAMPAR,01-92215184,NO FAX,Yes,Yes,Yes,06/11/2024
82,24 WELLNESS,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-94009650,NO FAX,Yes,NO SPKK,NO STP,20/09/2025
83,247 GLOBAL INDUSTRIES SDN. BHD.,G4,PULAU PINANG,SEBERANG PERAI TENGAH,0,0,Yes,Yes,NO STP,25/05/2026
84,24SEVEN ENTERPRISE,G2,SARAWAK,MERADONG,019-4395925,NO FAX,Yes,NO SPKK,NO STP,09/10/2025
85,25 ART CREATIVE,G3,PAHANG,MARAN,06-9812980,06-9812980,Yes,Yes,Yes,21/12/2024
86,25 BINA JAYA ENTERPRISE,G1,JOHOR,KOTA TINGGI,01-37757933,NO FAX,Yes,Yes,Yes,21/06/2024
87,25 DESIGN & CONSTRUCTION   SDN. BHD.,G3,JOHOR,JOHOR BAHRU,07-3610152,NO FAX,Yes,NO SPKK,NO STP,25/01/2025
88,25M BORNEO,G2,SABAH,Papar,016-8411800,00,Yes,NO SPKK,NO STP,28/04/2024
89,26 BINA RESOURCES,G2,JOHOR,JOHOR BAHRU,01-49812318,NO FAX,Yes,NO SPKK,NO STP,02/02/2025
90,28 JASA MUDA ENTERPRISE,G1,KEDAH,LANGKAWI,01-95649982,NO FAX,Yes,Yes,Yes,18/07/2026
91,28 PROJECT MANAGEMENT SERVICES,G1,SELANGOR,GOMBAK,0192754300,NO FAX,Yes,Yes,Yes,05/04/2024
92,2A CAPITAL SDN. BHD.,G4,SELANGOR,Hulu Langat,01-26030360,NO FAX,Yes,Yes,Yes,18/06/2024
93,2B CONSTRUCTION SDN. BHD.,G3,SABAH,Kota Kinabalu,01-78170747,NO FAX,Yes,NO SPKK,NO STP,12/12/2024
94,2F EMPIRE,G1,SARAWAK,Asajaya,016-5183451,NO FAX,Yes,NO SPKK,NO STP,07/01/2024
95,2F VENTURES SDN. BHD.,G4,SELANGOR,,03-67322249,03-61852014,Yes,Yes,Yes,29/09/2026
96,2H UNITED HOLDING SDN. BHD.,G4,SELANGOR,,03-76101850,03-76101850,Yes,NO SPKK,NO STP,02/11/2025
97,2K AMANAH ENTERPRISE,G1,SARAWAK,Lubok Antu,083-327711,083-327111,Yes,Yes,Yes,17/08/2025
98,2KI ENGINEERING SDN. BHD.,G1,TERENGGANU,KEMAMAN,098593066,098593066,Yes,Yes,Yes,24/03/2024
99,2M SABINDO SOLUTIONS,G1,SABAH,KINABATANGAN,016-2576040,-,Yes,NO SPKK,NO STP,12/01/2024
100,2T ENTERPRISE,G2,SABAH,KOTA MARUDU,013-8975570,-,Yes,NO SPKK,NO STP,05/10/2024
101,2TA RAKKAVAK,G2,SABAH,LAHAD DATU,0108896005,NO FAX,Yes,NO SPKK,NO STP,14/04/2026
102,2WIN TRADING,G1,SABAH,Kota Kinabalu,012-8283737,088 270837,Yes,Yes,Yes,05/08/2025
103,2Y COMMUNICATIONS ENGINEERING,G5,TERENGGANU,KUALA TERENGGANU,096221999,096248057,Yes,Yes,Yes,27/03/2024
104,2Z ENTERPRISE,G1,SARAWAK,Simunjan,01116061005,-,Yes,Yes,NO STP,25/06/2024
105,3 A EXQUISITE RESOURCES,G1,SELANGOR,SABAK BERNAM,01135433953,NO FAX,Yes,Yes,Yes,24/04/2024
106,3 A TRADING,G1,KELANTAN,KOTA BHARU,01-69545652,NO FAX,Yes,Yes,Yes,06/11/2024
107,3 AHMAD RESOURCES,G1,TERENGGANU,KUALA TERENGGANU,0139439791,0,Yes,Yes,Yes,27/12/2025
108,3 AM ENGINEERING,G1,NEGERI SEMBILAN,SEREMBAN,0,NO FAX,Yes,Yes,NO STP,08/11/2025
109,3 CT CONSTRUCTION,G1,JOHOR,JOHOR BAHRU,01-82257836,NO FAX,Yes,Yes,NO STP,27/02/2025
110,3 F GLOBAL VENTURES,G1,SELANGOR,Hulu Langat,01-95484990,NO FAX,Yes,Yes,Yes,16/01/2025
111,3 H MASTER SERVICES,G1,SELANGOR,PETALING,01-33444652,NO FAX,Yes,Yes,Yes,18/06/2025
112,3 H METAL ENGINEERING,G1,PULAU PINANG,BARAT DAYA,0,NO FAX,Yes,Yes,Yes,10/05/2024
113,3 HILL RESOURCES SDN. BHD.,G2,SELANGOR,,03-61883060,03-61863060,Yes,Yes,Yes,04/05/2026
114,3 K GENERATION ENTERPRISE,G2,NEGERI SEMBILAN,SEREMBAN,01-33484563,NO FAX,Yes,Yes,NO STP,20/01/2024
